№ ФП ;Код 1С (группа);Автор/авторский коллектив;Наименование учебника;Класс;Цена с доставкой (в т.ч. НДС), руб.
1.2.1.3.6.2;VEN000000000426391;"Вербицкая М.В., Гаярделли М., Редли П., Савчук Л.О.  / Под ред. Вербицкой М.В. "; Английский язык. 6 класс. (В 2 ч.)     2 часть;6;375,00
1.2.1.3.6.3;VEN000000000426409;Вербицкая М.В., Гаярделли М., Редли П., Миндрул О.С., Савчук Л.О. / Под ред. Вербицкой М.В. ; Английский язык. 7 класс. ( в 2 частях)  1 часть с CD диском;7;399,00
1.2.1.3.6.3;VEN000000000426411;Вербицкая М.В., Гаярделли М., Редли П., Миндрул О.С., Савчук Л.О. / Под ред. Вербицкой М.В. ; Английский язык. 7 класс. ( в 2 частях)  2 часть;7;375,00
1.2.1.3.6.4;VEN000000000426380;"Вербицкая М.В., Маккинли С., Хастингс Б., Миндрул О. С.   / Под ред. Вербицкой М.В. "; Английский язык. 8 класс. с CD диском;8;399,00
1.2.1.3.6.5;DRF000000000428038;Вербицкая М.В., Маккинли С., Хастингс Б., Миндрул О. С., Твердохлебова И. П. / Под ред. Вербицкой М.В. ; Английский язык. 9 класс. с CD диском;9;399,00
1.2.1.4.2.1;VEN000000000426414;Дорофеева Н.С., Красова Г.А. ;Итальянский язык. Второй иностранный языкк. 5 класс. ( с CD диском);5;482,00
1.2.1.4.3.2;VEN000000000426432;Дорофеева Н.С., Красова Г.А. ;Итальянский язык. Второй иностранный язык. 6 класс.  ( с CD диском);6;482,00
1.2.1.4.3.3;VEN000000000426415;Дорофеева Н.С., Красова Г.А. ; Итальянский язык. Второй иностранный язык. 7 класс.  ( с CD диском);7;482,00
1.2.1.4.3.4;VEN000000000426417;Дорофеева Н.С., Красова Г.А. ; Итальянский язык. Второй иностранный язык. 8 класс. ;8;482,00
1.2.1.4.3.5;VEN000000000426470;Дорофеева Н.С., Красова Г.А. ; Итальянский язык. Второй иностранный язык. 9 класс. ;9;482,00
1.2.2.2.3.1;VEN000000000426699; Майков А.Н.; История. 5 класс. ;5;303,00
1.2.2.2.3.2;VEN000000000426661;"Андреевская Т.П., Белкин М.В., Ванина Э.В. /  Под ред. Мясникова В.С. "; История Древнего мира. 5 класс. ;5;332,00
1.2.2.2.3.3;VEN000000000426702;"Искровская Л.В., Фёдоров С.Е., Гурьянова Ю.В. /  Под ред. Мясникова В.С. "; История Средних веков. 6 класс. ;6;361,00
1.2.2.2.3.4;VEN000000000426703;Носков В.В., Андреевская Т.П. ; Всеобщая история. 7 класс. ;7;361,00
1.2.2.2.3.5;VEN000000000426707;Носков В.В., Андреевская Т.П. ; Всеобщая история. 8 класс. ;8;361,00
1.2.2.2.3.6;VEN000000000426708; Хейфец В.Л., Хейфец Л.С., Северинов К.М. / Под ред. Мясникова В.С. ; Всеобщая история. 9 класс. ;9;361,00
1.2.2.3.4.1;VEN000000000427645;Соболева О.Б., Иванов О.В. / Под ред. Бордовского Г.А. ; Обществознание. 5 класс. ;5;343,00
1.2.2.3.4.2;VEN000000000427647;Барабанов В.В., Насонова И.П. / Под ред. Бордовского Г.А. ; Обществознание. 6 класс. ;6;343,00
1.2.2.3.4.3;VEN000000000427653; Соболева О.Б., Корсун Р.П. / Под ред. Бордовского Г.А. ;Обществознание. 7 класс. ;7;343,00
1.2.2.3.4.4;VEN000000000427658;Соболева О.Б., Чайка В.Н. / Под ред. Бордовского Г.А. ;Обществознание.  8 класс. ;8;370,00
1.2.2.3.4.5;VEN000000000427659;Насонова И.П. / Под ред. Бордовского Г.А. ;Обществознание.  9 класс. ;9;370,00
1.2.2.4.6.1;VEN000000000426772; Летягин А.А. / Под ред. Дронова В.П. ; География.  5 класс. ;5;354,00
1.2.2.4.6.2;DRF000000000427967;Летягин А.А. / Под ред. Дронова В.П. ; География. 6 класс. ;6;354,00
1.2.2.4.6.3;DRF000000000427968;Душина И.В., Смоктунович Т.Л. / Под ред. Дронова В.П. ; География.  7 класс. ;7;354,00
1.2.2.4.6.4;VEN000000000426760;Пятунин В.Б., Таможняя Е.А. / Под ред. Дронова В.П. ; География. 8 класс. ;8;363,00
1.2.2.4.6.5;VEN000000000426796;Таможняя Е.А., Толкунова С.Г. / Под ред. Дронова В.П. ; География .9 класс. ;9;419,00
1.2.3.1.10.1;DRF000000000428199;Мерзляк А.Г., Полонский В.Б., Якир М.С.; Математика. 5 класс. ;5;339,00
1.2.3.1.10.2;VEN000000000427082;Мерзляк А.Г., Полонский В.Б., Якир М.С.; Математика. 6 класс. ;6;339,00
1.2.3.2.7.1;VEN000000000427019;Мерзляк А.Г., Полонский В.Б., Якир М.С.; Алгебра. 7 класс;7;339,00
1.2.3.2.7.2;VEN000000000427022;Мерзляк А.Г., Полонский В.Б., Якир М.С.; Алгебра. 8 класс;8;339,00
1.2.3.2.7.3;VEN000000000427056;Мерзляк А.Г., Полонский В.Б., Якир М.С.; Алгебра. 9 класс;9;339,00
1.2.3.2.8.1;VEN000000000427066;Мерзляк А.Г., Поляков В.М. ; Алгебра. 7 класс;7;339,00
1.2.3.2.8.2;VEN000000000427059;Мерзляк А.Г., Поляков В.М. ; Алгебра. 8 класс (углубленное изучение);8;339,00
1.2.3.2.8.3;VEN000000000427065;Мерзляк А.Г., Поляков В.М. ; Алгебра. 9 класс (углубленное изучение);9;339,00
1.2.3.3.5.1;VEN000000000427031;Мерзляк А.Г.,Полонский В.Б.,Якир МС;Геометрия ;7;339,00
1.2.3.3.5.2;VEN000000000427033;Мерзляк А.Г.,Полонский В.Б.,Якир МС;Геометрия ;8;339,00
1.2.3.3.5.3;VEN000000000427055;Мерзляк А.Г.,Полонский В.Б.,Якир МС;Геометрия ;9;339,00
1.2.4.1.3.1;VEN000000000427351;Грачёв А.В., Погожев В.А., Селиверстов А.В. ; Физика. 7 класс. ;7;339,00
1.2.4.1.3.2;VEN000000000427377;Грачёв А.В., Погожев В.А., Вишнякова Е.А. ; Физика. 8 класс. ;8;339,00
1.2.4.1.3.3;VEN000000000427376;Грачёв А.В., Погожев В.А., Боков П.Ю. ;" Физика. 9 класс. Учебник для  учащихся общеобразовательных организаций";9;345,00
1.2.4.1.8.1;VEN000000000427364;Хижнякова Л.С., Синявина А.А. ; Физика. 7 класс. ;7;314,00
1.2.4.1.8.2;VEN000000000427369; Хижнякова Л.С., Синявина А.А. ; Физика. 8 класс. ;8;314,00
1.2.4.1.8.3;VEN000000000427371; Хижнякова Л.С., Синявина А.А. ; Физика. 9 класс. ;9;314,00
1.2.4.2.6.1;VEN000000000426657;Пономарёва И.Н., Николаев И.В., Корнилова О.А. ; Биология. 5 класс. ;5;377,00
1.2.4.2.6.2;VEN000000000426650;И.Н. Пономарёва, О.А. Корнилова, В.С. Кучменко. Под ред. проф. И.Н. Пономарёвой ; Биология. 6 класс. ;6;377,00
1.2.4.2.6.3;VEN000000000426544;Константинов В.М., Бабенко В.Г., Кучменко В.С. / Под ред. Константинова В.М. ; Биология. 7 класс. ;7;377,00
1.2.4.2.6.4;VEN000000000426586;Драгомилов А.Г., Маш Р.Д. ; Биология. 8 класс. ;8;377,00
1.2.4.2.6.5;VEN000000000426552;Пономарёва И.Н., Корнилова О.А., Чернова Н.М. / Под ред. Пономарёвой И.Н. ; Биология.9 класс. ;9;377,00
1.2.4.2.10.1;VEN000000000426555;Сухова Т.С., Строганов В.И. ; Биология. 5 класс;5;361,00
1.2.4.2.10.2;VEN000000000426517;Сухова Т.С., Дмитриева Т.А.; Биология. 6 класс;6;361,00
1.2.4.2.10.3;VEN000000000426516;Шаталова С.П., Сухова Т.С. ; Биология. 7 класс;7;361,00
1.2.4.2.10.4;VEN000000000426589;Каменский А.А., Сарычева Н.Ю., Сухова Т.С. ; Биология. 8 класс;8;361,00
1.2.4.2.10.5;VEN000000000426588;Сухова Т.С., Сарычева Н.Ю., Шаталова С.П., Дмитриева Т.А.; Биология. 9 класс;9;361,00
1.2.4.2.13.6;VEN000000000426538;Сухова Т.С., Строганов В.И. ; Биология. 5–6 классы. (линейный курс);5-6;377,00
1.2.4.2.13.7;VEN000000000426545;Пономарёва И.Н., Корнилова О.А., Кучменко В.С. / Под ред. Пономарёвой И.Н. ; Биология. 7 класс. (линейный курс);7;377,00
1.2.4.2.13.8;VEN000000000426652;Константинов В.М., Бабенко В.Г., Кучменко В.С. / Под ред. Константинова В.М. ; Биология. 8 класс. ;8;377,00
1.2.4.2.13.9;VEN000000000426513;Драгомилов А.Г., Маш Р.Д. ; Биология. 9 класс. ;9;377,00
1.2.4.3.6.1;VEN000000000427452; Кузнецова Н.Е., Титова И.М., Гара Н.Н. ; Химия. 8 класс. ;8;361,00
1.2.4.3.6.2;VEN000000000427457;Кузнецова Н.Е., Титова И.М., Гара Н.Н.; Химия. 9 класс. ;9;361,00
1.2.5.1.2.1;VEN000000000427555;Ермолинская Е.А., Медкова Е.С., Савенкова Л.Г. / Под ред. Савенковой Л.Г. ; Изобразительное искусство. 5 класс. ;5;330,00
1.2.5.1.2.2;VEN000000000427556;Ермолинская Е.А., Медкова Е.С., Савенкова Л.Г. / Под ред. Савенковой Л.Г. ; Изобразительное искусство. 6 класс. ;6;330,00
1.2.5.1.2.3;VEN000000000427557;Ермолинская Е.А., Медкова Е.С., Савенкова Л.Г. ; Изобразительное искусство. 7 класс. ;7;330,00
1.2.5.1.2.4;VEN000000000427552;Ермолинская Е.А., Медкова Е.С., Савенкова Л.Г. ; Изобразительное искусство. 8 класс. ;8;330,00
1.2.5.2.4.1;VEN000000000427100;Усачёва В.О., Школяр Л.В. ; Музыка. 5 класс. ;5;330,00
1.2.5.2.4.2;VEN000000000427098;Усачёва В.О., Школяр Л.В. ; Музыка. 6 класс. ;6;330,00
1.2.5.2.4.3;VEN000000000427099;Усачёва В.О., Школяр Л.В. ; Музыка. 7 класс. ;7;339,00
1.2.6.1.4.1;VEN000000000427223;Сасова И.А., Павлова М.Б., Гуревич М.И., Дж. Питт. / Под ред. Сасовой И.А. ; Технология. 5 класс. ;5;350,00
1.2.6.1.4.2;VEN000000000427227;"Сасова И.А., Павлова М.Б., Гуревич М.И. /  Под ред. Сасовой И.А. "; Технология. Технологии ведения дома. 6 класс. ;6;350,00
1.2.6.1.4.3;VEN000000000427226;Сасова И.А., Гуревич М.И., Павлова М.Б. / Под ред. Сасовой И.А. ; Технология. Индустриальные технологии. 6 класс. ;6;350,00
1.2.6.1.4.4;VEN000000000427232;Сасова И.А., Павлова М.Б., Шарутина А.Ю., Гуревич М.И. / Под ред. Сасовой И.А. ; Технология. Технологии ведения дома. 7 класс. ;7;350,00
1.2.6.1.4.5;VEN000000000427231;Сасова И.А., Павлова М.Б., Гуревич М.И. / Под ред. Сасовой И.А.; Технология. Индустриальные технологии. 7 класс. ;7;350,00
1.2.6.1.4.6;VEN000000000427237;Сасова И.А., Леонтьев А.В., Капустин В.С. / Под ред. Сасовой И.А. ; Технология. 8 класс. ;8;350,00
1.2.6.1.5.1;DRF000000000427872;"Синица Н.В., Самородский П.С., Симоненко В.Д.,  Яковенко О.В. "; Технология. 5 класс. ;5;321,00
1.2.6.1.5.2;VEN000000000427268;"Синица Н.В., Самородский П.С., Симоненко В.Д.,  Яковенко О.В. "; Технология. 6 класс. ;6;321,00
1.2.6.1.5.3;VEN000000000427271;"Синица Н.В., Самородский П.С., Симоненко В.Д.,  Яковенко О.В. "; Технология. 7 класс. ;7;321,00
1.2.6.1.5.4;VEN000000000427277;Матяш Н.В., Электов А.А., Симоненко В.Д., Гончаров Б.А., Елисеева Е.В., Богатырёв А.Н., Очинин О.П.; Технология. 8 класс. ;8;321,00
1.2.6.1.6.1;VEN000000000427321;Синица Н.В., Симоненко В.Д. ; Технология. Технологии ведения дома. 5 класс. ;5;350,00
1.2.6.1.6.2;VEN000000000427323;Тищенко А.Т., Симоненко В.Д. ; Технология. Индустриальные технологии. 5 класс. ;5;350,00
1.2.6.1.6.3;VEN000000000427322;Синица Н.В., Симоненко В.Д. ; Технология. Технологии ведения дома. 6 класс. ;6;350,00
1.2.6.1.6.4;VEN000000000427327;Тищенко А.Т., Симоненко В.Д. ; Технология. Индустриальные технологии. 6 класс. ;6;350,00
1.2.6.1.6.5;VEN000000000427276;Синица Н.В., Симоненко В.Д. ; Технология. Технологии ведения дома. 7 класс. ;7;350,00
1.2.6.1.6.6;VEN000000000427258;Тищенко А.Т., Симоненко В.Д. ; Технология. Индустриальные технологии. 7 класс. ;7;350,00
1.2.6.1.6.7;VEN000000000427324;Симоненко В.Д., Электов А.А., Гончаров Б.А., Очинин О.П., Елисеева Е.В., Богатырёв А.Н. ; Технология. 8 класс. ;8;352,00
1.2.7.1.4.1;VEN000000000427715;Петрова Т.В., Копылов Ю.А., Полянская Н.В., Петров С.С. ; Физическая культура. 5-7 классы. ;5-7;352,00
1.2.7.1.4.2;VEN000000000427714;Петрова Т.В., Копылов Ю.А., Полянская Н.В., Петров С.С. ; Физическая культура. 8-9 классы. ;8-9;352,00
1.2.7.2.1.1;VEN000000000427112;Виноградова Н.Ф., Смирнов Д.В., Сидоренко Л.В., Таранин А.Б. ; Основы безопасности жизнедеятельности. 5-6 классы. ;5-6;361,00
1.2.7.2.1.2;VEN000000000427117;Виноградова Н.Ф., Смирнов Д.В., Сидоренко Л.В., Таранин А.Б. ; Основы безопасности жизнедеятельности.7-9 классы. ;7-9;361,00
1.3.1.1.4.1;VEN000000000427211;Гусарова И.В. ;Русский язык и литература. Русский язык. 10 класс: базовый и углублённый уровни. ;10;361,00
1.3.1.1.4.2;VEN000000000427208;Гусарова И.В. ;Русский язык и литература. Русский язык. 11 класс: базовый и углублённый уровни. ;11;361,00
1.3.1.1.4.3;VEN000000000426991;Ланин Б.А., Устинова Л.Ю., Шамчикова В.М. / Под ред. Ланина Б.А. ; Русский язык и литература. Литература. 10 класс: базовый и углублённый уровни. ;10;370,00
1.3.1.1.4.4;VEN000000000426936;Ланин Б.А., Устинова Л.Ю., Шамчикова В.М. / Под ред. Ланина Б.А. ; Русский язык и литература. Литература. 11 класс: базовый и углублённый уровни. ;11;370,00
1.3.2.1.3.1;VEN000000000426418;Вербицкая М.В., Маккинли С., Хастингс Б., Каминс Д. Карр, Парсонс М, Миндрул О.С. / Под ред. Вербицкой М.В. ; Английский язык. 10 класс: базовый уровень. (учебник с CD  диском);10;399,00
1.3.2.1.3.2;VEN000000000426410;Вербицкая М.В., Каминс Д. Карр, Парсонс Д., Миндрул О.С. / Под ред. Вербицкой М.В. ; Английский язык. 11 класс: базовый уровень» с CD диском;11;399,00
1.3.2.3.1.1;VEN000000000426383;Дорофеева Н.С., Красова Г.А. ;Итальянский язык. Второй иностранный язык. 10 класс: базовый уровень. с CD диском;10;482,00
1.3.2.3.1.2;VEN000000000426412;Дорофеева Н.С., Красова Г.А. ;Итальянский язык. Второй иностранный язык. 11 класс: базовый уровень. с CD диском;11;482,00
1.3.3.1.4.1;VEN000000000426700;Климов О.Ю., Земляницин В.А., Носков В.В., Искровская Л.В. / Под ред. Мясникова B.C. ;История. Всеобщая история. 10 класс: базовый уровень, углублённый уровень. ;10;399,00
1.3.3.1.4.2;VEN000000000426704;Пленков О.Ю., Андреевская Т.П., Шевченко С.В. / Под ред. Мясникова B.C. ;История. Всеобщая история. 11 класс: базовый уровень, углублённый уровень. ;11;399,00
1.3.3.3.2.1;VEN000000000427641;Соболева О.Б., Барабанов В.В., Кошкина С.Г., Малявин С.Н. / Под ред. Бордовского Г.А. ;Обществознание. 10 класс: базовый уровень;10;388,00
1.3.3.3.2.2;VEN000000000427657;Воронцов А.В., Королёва Г.Э., Наумов С.А., Романов К.С. / Под ред. Бордовского Г.А. ;Обществознание. 11 класс: базовый уровень;11;388,00
1.3.3.4.1.1;VEN000000000426839;Бахчиева О.А. / Под ред. Дронова В.П. ; География. Экономическая и социальная география мира. 10-11 классы: базовый уровень, углублённый уровень. ;10-11;419,00
1.3.3.6.4.1;DRF000000000428200;Королёва Г.Э., Бурмистрова Т.В. ; Экономика. 10-11 классы: базовый уровень;10-11;361,00
1.3.5.1.2.1;VEN000000000427330;Грачёв А.В., Погожев В.А., Салецкий А.М., Боков П.Ю. ; Физика. 10 класс: базовый уровень, углублённый уровень. ;10;388,00
1.3.5.1.2.2;VEN000000000427337;Грачёв А.В., Погожев В.А., Салецкий А.М., Боков П.Ю. ; Физика. 11 класс: базовый уровень, углублённый уровень. ;11;388,00
1.3.5.1.8.1;VEN000000000427331;Хижнякова Л.С., Синявина А.А., Холина С.А., Кудрявцев В.В.; Физика. 10 класс: базовый уровень, углублённый уровень. ;10;388,00
1.3.5.1.8.2;VEN000000000427332;Хижнякова Л.С., Синявина А.А., Холина С.А., Кудрявцев В.В. ; Физика. 11 класс: базовый уровень, углублённый уровень. ;11;388,00
1.3.5.3.3.1;VEN000000000427461;Кузнецова Н.Е., Гара Н.Н. ; Химия. 10 класс: базовый уровень;10;361,00
1.3.5.3.3.2;VEN000000000427406;Кузнецова Н.Е., Лёвкин А.Н., Шаталов М.А. ; Химия. 11 класс: базовый уровень;11;361,00
1.3.5.4.3.1;VEN000000000427405;Кузнецова Н.Е., Гара Н.Н., Титова И.М. ; Химия. 10 класс: углублённый уровень;10;388,00
1.3.5.4.3.2;VEN000000000427407;Кузнецова Н.Е., Литвинова Т.Н., Лёвкин А.Н. ; Химия. 11 класс: углублённый уровень;11;388,00
1.3.5.5.5.1;VEN000000000426553;Каменский А.А., Сарычева Н.Ю., Исакова С.Н. ; Биология. 10 класс: базовый уровень. ;10;361,00
1.3.5.5.5.2;VEN000000000426514;Каменский А.А., Сарычева Н.Ю., Исакова С.Н. ; Биология. 11 класс: базовый уровень. ;11;361,00
1.3.5.5.6.1;VEN000000000426583;Пономарёва И.Н., Корнилова О.А., ЛощилинаТ.Е. / Под ред. Пономарёвой И.Н. ; Биология. 10 класс: базовый уровень. ;10;377,00
1.3.5.5.6.2;VEN000000000426587;И.Н. Пономарева, О.А. Корнилова, Т.Е. Лощилина, П.В. Ижевский. Под ред. И.Н. Пономарёвой; Биология. 11 класс: базовый уровень. ;11;377,00
1.3.5.6.3.1;VEN000000000426591;Пономарёва И.Н., Корнилова О.А., СимоноваЛ.В. / Под ред. И.Н. Пономарёвой; Биология. 10 класс: углублённый уровень;10;395,00
1.3.5.6.3.2;VEN000000000426592;Пономарёва И.Н., Корнилова О.А., СимоноваЛ.В. / Под ред. И.Н. Пономарёвой; Биология. 11 класс: углублённый уровень;11;395,00
1.3.6.2.3.1;VEN000000000427753;Миркин Б.М., Наумова Л.Г., Суматохин С.В. ; Экология. 10-11 классы: базовый уровень. ;10-11;361,00
1.3.6.1.3.1;VEN000000000427716;Матвеев А.П., Палехова Е.С. ; Физическая культура. 10-11 классы: базовый уровень. ;10-11;352,00
1.3.6.3.1.1;VEN000000000427123;Алексеев С.В., Данченко С.П., Костецкая Г.А., Ладнов С.Н.; Основы безопасности жизнедеятельности. 10-11 классы: базовый уровень. ;10-11;399,00
2.2.4.1.1.1;VEN000000000427691;Виноградова Н.Ф., Власенко В.И., Поляков А.В. ; Основы духовно-нравственной культуры народов России. 5 класс;5;352,00
2.3.4.1.1.1;VEN000000000427241;Симоненко В.Д., Очинин О.П., Матяш Н.В., Виноградов Д.В. ; Технология. 10-11 классы: базовый уровень;10-11;352,00