Комарова И.В.,Перретт Ж. Английский язык 2кл. (Тест);rus_test_efu1;1.1.1.3.6.1;1.1.1.3.6.1;Английский язык 2кл.;Комарова И.В.,Перретт Ж.;2;0,18;105
Комарова Ю.А.,Ларионова И.В.,Перретт Ж. Английский язык 3кл. (Тест);rus_test_efu2;1.1.1.3.6.2;1.1.1.3.6.2;Английский язык 3кл.;Комарова Ю.А.,Ларионова И.В.,Перретт Ж.;3;0,18;105
Комарова Ю.А.,Ларионова И.В.,Перретт Ж. Английский язык 4кл. (Тест);rus_test_efu3;1.1.1.3.6.3;1.1.1.3.6.3;Английский язык 4кл.;Комарова Ю.А.,Ларионова И.В.,Перретт Ж.;4;0,18;105
Комарова Ю.А.,Ларионова И.В.,Грейнджер К. Английский язык 5кл. (Тест);rus_test_efu4;1.2.1.3.7.1;1.2.1.3.7.1;Английский язык 5кл.;Комарова Ю.А.,Ларионова И.В.,Грейнджер К.;5;0,18;105
Комарова Ю.А., Ларионова И.В., Макбет К. Английский язык 6кл. (Тест);rus_test_efu5;1.2.1.3.7.2;1.2.1.3.7.2;Английский язык 6кл.;Комарова Ю.А., Ларионова И.В., Макбет К.;6;0,18;105
Комарова Ю.А.,Ларионова И.В.,Макбет К. Английский язык 7кл. (Тест);rus_test_efu6;1.2.1.3.7.3;1.2.1.3.7.3;Английский язык 7кл.;Комарова Ю.А.,Ларионова И.В.,Макбет К.;7;0,18;105
Комарова Ю.А.,Ларионова И.В.,Макбет К. Английский язык 8кл. (Тест);rus_test_efu7;1.2.1.3.7.4;1.2.1.3.7.4;Английский язык 8кл.;Комарова Ю.А.,Ларионова И.В.,Макбет К.;8;0,18;105
Комарова Ю.А., Ларионова И.В., Макбет К. Английский язык 9кл. (Тест);rus_test_efu8;1.2.1.3.7.5;1.2.1.3.7.5;Английский язык 9кл.;Комарова Ю.А., Ларионова И.В., Макбет К.;9;0,18;105
Комарова Ю.А.,Ларионова И.В.,Араванис Р.,Вассилакис Дж. Английский язык 10кл. (Тест);rus_test_efu9;1.3.2.1.4.1;1.3.2.1.4.1;Английский язык 10кл.;Комарова Ю.А.,Ларионова И.В.,Араванис Р.,Вассилакис Дж.;10;0,18;105
Комарова Ю.А.,Ларионова И.В.,Араванис Р. ,Кокрейн С. Английский язык.11кл. (Тест);rus_test_efu10;1.3.2.1.4.2;1.3.2.1.4.2;Английский язык.11кл.;Комарова Ю.А.,Ларионова И.В.,Араванис Р. ,Кокрейн С.;11;0,18;105
Исаева Т.А.,Романова Н.И. Биология 6 кл. (Тест);rus_test_efu11;1.2.4.2.4.2;1.2.4.2.4.2;Биология 6 кл.;Исаева Т.А.,Романова Н.И.;6;0,18;105
Тихонова Е.Т.,Романова Н.И. Биология 7 кл. (Тест);rus_test_efu12;1.2.4.2.4.3;1.2.4.2.4.3;Биология 7 кл.;Тихонова Е.Т.,Романова Н.И.;7;0,18;105
Плешаков А.А.,Введенский Э.Л. Биология.Введение в биологию. 5 класс (Тест);rus_test_efu13;1.2.4.2.4.1;1.2.4.2.4.1;Биология.Введение в биологию. 5 класс;Плешаков А.А.,Введенский Э.Л.;5;0,18;105
Жемчугова М.Б.,Романова Н.И. Биология 8 кл. (Тест);rus_test_efu14;1.2.4.2.4.4;1.2.4.2.4.4;Биология 8 кл.;Жемчугова М.Б.,Романова Н.И.;8;0,18;105
Данилов С.Б.,Романова Н.И.,Владимирская А.И. Биология 9 кл. (Тест);rus_test_efu15;1.2.4.2.4.5;1.2.4.2.4.5;Биология 9 кл.;Данилов С.Б.,Романова Н.И.,Владимирская А.И.;9;0,18;105
Данилов С.Б.,Владимирская А.И.,Романова Н.И. Биология 10 кл.Базовый уровень (Тест);rus_test_efu16;1.3.5.5.3.1;1.3.5.5.3.1;Биология 10 кл.Базовый уровень;Данилов С.Б.,Владимирская А.И.,Романова Н.И.;10;0,18;105
Данилов С.Б.,Владимирская А.И.,Романова Н.И. Биология 11 кл.Базовый уровень (Тест);rus_test_efu17;1.3.5.5.3.2;1.3.5.5.3.2;Биология 11 кл.Базовый уровень;Данилов С.Б.,Владимирская А.И.,Романова Н.И.;11;0,18;105
Михайловский Ф. А. Всеобщая история.История древнего мира 5кл (Тест);rus_test_efu18;1.2.2.2.4.1;1.2.2.2.4.1;Всеобщая история.История древнего мира 5кл;Михайловский Ф. А.;5;0,18;105
Бойцов М.А.,Шукуров Р.М. Всеобщая история.История средних веков 6кл. (Тест);rus_test_efu19;1.2.2.2.4.2;1.2.2.2.4.2;Всеобщая история.История средних веков 6кл.;Бойцов М.А.,Шукуров Р.М.;6;0,18;105
Дмитриева О. В. Всеобщая история. История Нового времени.  Конец XV-XVIII век. 7 кл. (Тест);rus_test_efu20;1.2.2.2.4.3;1.2.2.2.4.3;Всеобщая история. История Нового времени.  Конец XV-XVIII век. 7 кл.;Дмитриева О. В.;7;0,18;105
Н.В. Загладин Всеобщая история. История Нового времени XIX - начало XX века. 8 кл. (Тест);rus_test_efu21;99.99.99.99.99.99;99.99.99.99.99.99;Всеобщая история. История Нового времени XIX - начало XX века. 8 кл.;Н.В. Загладин;8;0,18;105
Н.В. Загладин Всеобщая история. Новейшая история XX - начало XXI века. 9кл. (Тест);rus_test_efu22;1.2.2.2.4.5;1.2.2.2.4.5;Всеобщая история. Новейшая история XX - начало XXI века. 9кл.;Н.В. Загладин;9;0,18;105
Загладин Н.В.,Симония Н.А. История. Всеобщая история (углубленный уровень) 10 кл. (Тест);rus_test_efu23;1.3.3.2.1.1;1.3.3.2.1.1;История. Всеобщая история (углубленный уровень) 10 кл.;Загладин Н.В.,Симония Н.А.;10;0,18;105
Н.В. Загладин История. Всеобщая история (углубленный уровень) 11 кл. (Тест);rus_test_efu24;1.3.3.2.1.2;1.3.3.2.1.2;История. Всеобщая история (углубленный уровень) 11 кл.;Н.В. Загладин;11;0,18;105
Домогацких Е.М.,Введенский Э.Л.,Плешаков А.А. География. Введение в географию 5кл. (Тест);rus_test_efu25;1.2.2.4.3.1;1.2.2.4.3.1;География. Введение в географию 5кл.;Домогацких Е.М.,Введенский Э.Л.,Плешаков А.А.;5;0,18;105
Домогацких Е.М., Алексеевский Н.И. География 6кл. (Тест);rus_test_efu26;1.2.2.4.3.2;1.2.2.4.3.2;География 6кл.;Домогацких Е.М., Алексеевский Н.И.;6;0,18;105
Домогацких Е.М.,Алексеевский Н.И. География 7кл. в 2-х чч.1ч. (Тест);rus_test_efu27;1.2.2.4.3.3;1.2.2.4.3.3;География 7кл. в 2-х чч.1ч.;Домогацких Е.М.,Алексеевский Н.И.;7;0,18;105
Домогацких Е.М.,Алексеевский Н.И. География 7кл. в 2-х чч.2ч. (Тест);rus_test_efu28;1.2.2.4.3.3;1.2.2.4.3.3;География 7кл. в 2-х чч.2ч.;Домогацких Е.М.,Алексеевский Н.И.;7;0,18;105
Домогацких Е.М.,Алексеевский Н.И. География 8 кл.ФГОС (Тест);rus_test_efu29;1.2.2.4.3.4;1.2.2.4.3.4;География 8 кл.ФГОС;Домогацких Е.М.,Алексеевский Н.И.;8;0,18;105
Домогацких Е.М.,Алексеевский Н.И.,Клюев Н.Н. География 9кл.ФГОС (Тест);rus_test_efu30;1.2.2.4.3.5;1.2.2.4.3.5;География 9кл.ФГОС;Домогацких Е.М.,Алексеевский Н.И.,Клюев Н.Н.;9;0,18;105
Домогацких Е.М.,Алексеевский Н.И. География (базовый уровень)10-11кл.1ч. (Тест);rus_test_efu31;1.3.3.4.3.1;1.3.3.4.3.1;География (базовый уровень)10-11кл.1ч.;Домогацких Е.М.,Алексеевский Н.И.;10-11 кл;0,18;105
Домогацких Е.М.,Алексеевский Н.И. География (базовый уровень)10-11кл.2ч. (Тест);rus_test_efu32;1.3.3.4.3.1;1.3.3.4.3.1;География (базовый уровень)10-11кл.2ч.;Домогацких Е.М.,Алексеевский Н.И.;10-11 кл;0,18;105
Домогацких Е.М.,Алексеевский Н.И. География (углубленный уровень)10кл. (Тест);rus_test_efu33;1.3.3.5.1.1;1.3.3.5.1.1;География (углубленный уровень)10кл.;Домогацких Е.М.,Алексеевский Н.И.;10;0,18;105
Домогацких Е.М.,Алексеевский Н.И. География (углубленный уровень)11кл. (Тест);rus_test_efu34;1.3.3.5.1.2;1.3.3.5.1.2;География (углубленный уровень)11кл.;Домогацких Е.М.,Алексеевский Н.И.;11;0,18;105
Введенский Э.Л.,Плешаков А.А. Естествознание.Введение в естественные науки 5кл. (Тест);rus_test_efu35;2.2.5.1.2.1;2.2.5.1.2.1;Естествознание.Введение в естественные науки 5кл.;Введенский Э.Л.,Плешаков А.А.;5;0,18;105
Савенкова Л.Г., Ермолинская Е.А., Селиванова Т.В.,Селиванов Н.Л./Под ред.Савенковой Л.Г. Изобразительное искусство 1кл. (Тест);rus_test_efu36;1.1.5.1.8.1;1.1.5.1.8.1;Изобразительное искусство 1кл.;Савенкова Л.Г., Ермолинская Е.А., Селиванова Т.В.,Селиванов Н.Л./Под ред.Савенковой Л.Г.;1;0,18;105
Савенкова Л.Г., Ермолинская Е.А., Селиванова Т.В.,Селиванов Н.Л./Под ред.Савенковой Л.Г. Изобразительное искусство 2кл. (Тест);rus_test_efu37;1.1.5.1.8.2;1.1.5.1.8.2;Изобразительное искусство 2кл.;Савенкова Л.Г., Ермолинская Е.А., Селиванова Т.В.,Селиванов Н.Л./Под ред.Савенковой Л.Г.;2;0,18;105
Савенкова Л.Г., Ермолинская Е.А., Селиванова Т.В.,Селиванов Н.Л./Под ред.Савенковой Л.Г. Изобразительное искусство 3кл. (Тест);rus_test_efu38;1.1.5.1.8.3;1.1.5.1.8.3;Изобразительное искусство 3кл.;Савенкова Л.Г., Ермолинская Е.А., Селиванова Т.В.,Селиванов Н.Л./Под ред.Савенковой Л.Г.;3;0,18;105
Савенкова Л.Г., Ермолинская Е.А., Селиванова Т.В.,Селиванов Н.Л./Под ред.Савенковой Л.Г. Изобразительное искусство 4кл. (Тест);rus_test_efu39;1.1.5.1.8.4;1.1.5.1.8.4;Изобразительное искусство 4кл.;Савенкова Л.Г., Ермолинская Е.А., Селиванова Т.В.,Селиванов Н.Л./Под ред.Савенковой Л.Г.;4;0,18;105
Савенкова Л.Г.,Ермолинская Е.А.,Селиванов Н.Л.,Селиванова Т.В.,Павлова Г.В./Под.ред.Савенковой Л.Г. Изобразительное искусство 5-6кл. (Тест);rus_test_efu40;1.2.5.1.4.1;1.2.5.1.4.1;Изобразительное искусство 5-6кл.;Савенкова Л.Г.,Ермолинская Е.А.,Селиванов Н.Л.,Селиванова Т.В.,Павлова Г.В./Под.ред.Савенковой Л.Г.;5-6 кл;0,18;105
Савенкова Л.Г.,Ермолинская Е.А.,Селиванов Н.Л.,Селиванова Т.В.,Павлова Г.В./Под ред.Савенковой Л.Г. Изобразительное искусство 7-8кл. (Тест);rus_test_efu41;1.2.5.1.4.2;1.2.5.1.4.2;Изобразительное искусство 7-8кл.;Савенкова Л.Г.,Ермолинская Е.А.,Селиванов Н.Л.,Селиванова Т.В.,Павлова Г.В./Под ред.Савенковой Л.Г.;7-8 кл;0,18;105
Сахаров А.Н.,Загладин Н.В. История.История с древнейших времен до конца ХIХ в 10кл.Базовый уровень (Тест);rus_test_efu42;1.3.3.1.6.1;1.3.3.1.6.1;История.История с древнейших времен до конца ХIХ в 10кл.Базовый уровень;Сахаров А.Н.,Загладин Н.В.;10;0,18;105
Загладин Н.В.,Петров Ю.А. История.Конец XIX-начало XXI века.Базовый уровень 11кл. (Тест);rus_test_efu43;1.3.3.1.6.2;1.3.3.1.6.2;История.Конец XIX-начало XXI века.Базовый уровень 11кл.;Загладин Н.В.,Петров Ю.А.;11;0,18;105
Пчелов Е.В.,Лукин П.В./Под ред.Петрова Ю.А. История России с древнейших времен до начала XVI века 6кл. (Тест);rus_test_efu44;1.2.2.1.8.1;1.2.2.1.8.1;История России с древнейших времен до начала XVI века 6кл.;Пчелов Е.В.,Лукин П.В./Под ред.Петрова Ю.А.;6;0,18;105
Пчелов Е. В. История России 7 кл. XVII — XVIII века. Учебник. (Тест);rus_test_efu45;1.2.2.1.8.2;1.2.2.1.8.2;История России 7 кл. XVII — XVIII века. Учебник.;Пчелов Е. В.;7;0,18;105
Захаров В.Н.,Пчелов Е.В./Под ред.Петрова Ю.А. История России XVIII век. 8 кл. (Тест);rus_test_efu46;1.2.2.1.8.3;1.2.2.1.8.3;История России XVIII век. 8 кл.;Захаров В.Н.,Пчелов Е.В./Под ред.Петрова Ю.А.;8;0,18;105
Соловьев К.А.,Шевырев А.П./Под ред.Петрова Ю.А. История России 9кл. 1801-1914гг. (Тест);rus_test_efu47;1.2.2.1.8.4;1.2.2.1.8.4;История России 9кл. 1801-1914гг.;Соловьев К.А.,Шевырев А.П./Под ред.Петрова Ю.А.;9;0,18;105
Рахимбекова Л. Ш. Китайский язык 10 кл. (Тест);rus_test_efu48;99.99.99.99.99.99;99.99.99.99.99.99;Китайский язык 10 кл.;Рахимбекова Л. Ш.;10;0,18;105
Рахимбекова Л. Ш. Китайский язык 11 кл. (Тест);rus_test_efu49;99.99.99.99.99.99;99.99.99.99.99.99;Китайский язык 11 кл.;Рахимбекова Л. Ш.;11;0,18;105
Меркин Г.С. Литература 5кл.1ч. (Тест);rus_test_efu50;1.2.1.2.4.1;1.2.1.2.4.1;Литература 5кл.1ч.;Меркин Г.С.;5;0,18;105
Меркин Г.С. Литература 5кл.2ч. (Тест);rus_test_efu51;1.2.1.2.4.1;1.2.1.2.4.1;Литература 5кл.2ч.;Меркин Г.С.;5;0,18;105
Меркин Г.С. Литература 6кл.1ч. (Тест);rus_test_efu52;1.2.1.2.4.2;1.2.1.2.4.2;Литература 6кл.1ч.;Меркин Г.С.;6;0,18;105
Меркин Г.С. Литература 6кл.2ч. (Тест);rus_test_efu53;1.2.1.2.4.2;1.2.1.2.4.2;Литература 6кл.2ч.;Меркин Г.С.;6;0,18;105
Меркин Г.С. Литература 7кл.1ч. (Тест);rus_test_efu54;1.2.1.2.4.3;1.2.1.2.4.3;Литература 7кл.1ч.;Меркин Г.С.;7;0,18;105
Меркин Г.С. Литература 7кл.2ч. (Тест);rus_test_efu55;1.2.1.2.4.3;1.2.1.2.4.3;Литература 7кл.2ч.;Меркин Г.С.;7;0,18;105
Меркин Г.С. Литература 8кл.1ч. (Тест);rus_test_efu56;1.2.1.2.4.4;1.2.1.2.4.4;Литература 8кл.1ч.;Меркин Г.С.;8;0,18;105
Меркин Г.С. Литература 8кл.2ч. (Тест);rus_test_efu57;1.2.1.2.4.4;1.2.1.2.4.4;Литература 8кл.2ч.;Меркин Г.С.;8;0,18;105
Зинин С.А.,Сахаров В.И.,Чалмаев В.А. Литература 9кл.1ч. (Тест);rus_test_efu58;1.2.1.2.4.5;1.2.1.2.4.5;Литература 9кл.1ч.;Зинин С.А.,Сахаров В.И.,Чалмаев В.А.;9;0,18;105
Зинин С.А.,Сахаров В.И.,Чалмаев В.А. Литература 9кл.2ч. (Тест);rus_test_efu59;1.2.1.2.4.5;1.2.1.2.4.5;Литература 9кл.2ч.;Зинин С.А.,Сахаров В.И.,Чалмаев В.А.;9;0,18;105
Гулин А.В.,Романова А.Н. Литература 5кл.1ч. (Тест);rus_test_efu60;99.99.99.99.99.99;99.99.99.99.99.99;Литература 5кл.1ч.;Гулин А.В.,Романова А.Н.;5;0,18;105
Гулин А.В.,Романова А.Н. Литература 5кл.2ч. (Тест);rus_test_efu61;99.99.99.99.99.99;99.99.99.99.99.99;Литература 5кл.2ч.;Гулин А.В.,Романова А.Н.;5;0,18;105
Гулин А.В.,Романова А.Н. Литература 6кл.2ч. (Тест);rus_test_efu62;99.99.99.99.99.99;99.99.99.99.99.99;Литература 6кл.2ч.;Гулин А.В.,Романова А.Н.;6;0,18;105
Гулин А.В.,Романова А.Н. Литература 6кл.2ч. (Тест);rus_test_efu63;99.99.99.99.99.99;99.99.99.99.99.99;Литература 6кл.2ч.;Гулин А.В.,Романова А.Н.;6;0,18;105
Гулин А.В.,Романова А.Н. Литература 7кл.1ч. (Тест);rus_test_efu64;99.99.99.99.99.99;99.99.99.99.99.99;Литература 7кл.1ч.;Гулин А.В.,Романова А.Н.;7;0,18;105
Гулин А.В.,Романова А.Н. Литература 7кл.2ч. (Тест);rus_test_efu65;99.99.99.99.99.99;99.99.99.99.99.99;Литература 7кл.2ч.;Гулин А.В.,Романова А.Н.;7;0,18;105
Гулин А.В.,Романова А.Н. Литература 8кл.1ч. (Тест);rus_test_efu66;99.99.99.99.99.99;99.99.99.99.99.99;Литература 8кл.1ч.;Гулин А.В.,Романова А.Н.;8;0,18;105
Гулин А.В.,Романова А.Н. Литература 8кл.2ч. (Тест);rus_test_efu67;99.99.99.99.99.99;99.99.99.99.99.99;Литература 8кл.2ч.;Гулин А.В.,Романова А.Н.;8;0,18;105
